symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,發行股數,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,30649972.0,23135.0,949004451.0,31.4,31.45,30.8,30.9,-,0.5,30.85,1444,30.90,269,30.0,,,,,,,
1102,亞泥,5836334.0,2668.0,237982069.0,40.55,41.1,40.5,40.7,+,0.15,40.70,72,40.80,7,13.26,,,,,,,
1103,嘉泥,523875.0,554.0,8922262.0,17.1,17.1,17.0,17.1,-,0.05,17.05,7,17.10,12,142.5,,,,,,,
1104,環泥,2016957.0,1415.0,64484454.0,32.35,32.35,31.75,31.95,-,0.4,31.95,29,32.00,8,10.21,,,,,,,
1108,幸福,896115.0,508.0,13991495.0,15.65,15.7,15.55,15.55,-,0.05,15.55,109,15.60,40,8.45,,,,,,,
1109,信大,396691.0,295.0,7516957.0,19.0,19.05,18.9,18.9,-,0.15,18.90,67,18.95,8,9.4,,,,,,,
1110,東泥,181181.0,126.0,3184065.0,17.7,17.8,17.45,17.6,-,0.1,17.55,20,17.65,9,67.69,,,,,,,
1201,味全,456984.0,401.0,8598665.0,18.8,18.9,18.7,18.85,+,0.05,18.80,34,18.85,4,35.57,,,,,,,
1203,味王,57893.0,103.0,3016957.0,51.3,53.6,51.0,51.3,,0.0,51.00,10,51.50,2,29.83,,,,,,,
1210,大成,3358266.0,2511.0,195572213.0,57.5,58.7,57.5,58.2,+,1.0,58.20,24,58.30,14,12.1,,,,,,,
1213,大飲,9136.0,14.0,65452.0,7.3,7.3,7.12,7.25,-,0.05,7.15,5,7.25,20,0.0,,,,,,,
1215,卜蜂,865349.0,1083.0,90450196.0,103.0,106.0,103.0,105.0,+,1.5,105.00,5,105.50,18,13.64,,,,,,,
1216,統一,10373769.0,4674.0,792287505.0,75.9,76.7,75.9,76.5,+,0.6,76.40,107,76.50,31,23.68,,,,,,,
1217,愛之味,1386102.0,733.0,16092256.0,11.7,11.7,11.55,11.6,-,0.1,11.60,108,11.65,23,28.29,,,,,,,
1218,泰山,6882815.0,3613.0,154984446.0,21.8,22.8,21.8,22.75,+,1.35,22.70,76,22.75,13,2.12,,,,,,,
1219,福壽,413593.0,343.0,7665380.0,18.6,18.65,18.5,18.5,-,0.1,18.50,17,18.55,13,19.68,,,,,,,
1220,台榮,1051287.0,542.0,15671800.0,14.65,15.0,14.65,14.95,+,0.3,14.95,18,15.00,155,19.67,,,,,,,
1225,福懋油,44593.0,105.0,2457064.0,54.2,55.5,54.2,55.4,-,0.1,55.30,2,55.60,1,34.62,,,,,,,
1227,佳格,607211.0,553.0,22665285.0,37.4,37.45,37.25,37.3,-,0.15,37.30,63,37.35,3,28.69,,,,,,,
1229,聯華,1337985.0,1846.0,89670028.0,67.1,67.6,66.6,67.3,+,0.1,67.30,13,67.40,17,25.49,,,,,,,
1231,聯華食,494786.0,1646.0,47895819.0,98.0,98.0,95.0,97.0,-,0.9,97.00,11,97.10,4,24.68,,,,,,,
1232,大統益,53234.0,126.0,7659195.0,143.5,144.0,143.5,144.0,,0.0,143.50,55,144.00,4,19.12,,,,,,,
1233,天仁,10688.0,40.0,362332.0,33.85,34.0,33.8,33.8,,0.0,33.80,2,33.90,1,31.89,,,,,,,
1234,黑松,221406.0,223.0,9010315.0,40.85,40.9,40.6,40.65,-,0.3,40.65,66,40.70,2,17.22,,,,,,,
1235,興泰,44656.0,120.0,3656613.0,82.1,82.3,81.4,81.7,-,0.9,81.50,2,82.00,1,50.75,,,,,,,
1236,宏亞,14752.0,55.0,345425.0,23.4,23.55,23.4,23.4,,0.0,23.40,2,23.45,1,130.0,,,,,,,
1240,茂生農經,27000.0,22.0,1380300.0,51.5,51.6,50.8,50.9,,0.1,50.90,1,51.00,1,18.18,39370158,55.9,45.85,2.7,112.0,5.3,1.57
1256,鮮活果汁-KY,30666.0,186.0,7067938.0,230.5,231.0,228.5,229.5,-,2.0,228.00,4,231.00,1,18.49,,,,,,,
1259,安心,15000.0,15.0,1118400.0,74.4,75.0,74.2,74.8,,-0.2,74.60,7,74.90,1,14.47,32389500,82.2,67.4,1.8,112.0,2.41,1.02
1264,德麥,3000.0,3.0,919000.0,306.5,306.5,306.0,306.0,,-1.5,305.50,1,306.50,1,16.91,37064367,336.5,275.5,14.0,112.0,4.58,3.76
1268,漢來美食,38000.0,34.0,5797000.0,153.0,153.0,152.0,152.0,,0.0,152.00,2,152.50,2,19.97,42223730,167.0,137.0,3.0,111.0,1.97,2.98
1301,台塑,15195830.0,12851.0,1015381018.0,67.8,67.8,66.5,66.8,-,1.0,66.80,4,66.90,5,58.09,,,,,,,
1303,南亞,13326520.0,10778.0,719537305.0,55.0,55.2,53.6,53.6,-,1.4,53.60,1139,53.70,236,67.0,,,,,,,
1304,台聚,2512575.0,2260.0,40760643.0,16.45,16.45,16.1,16.1,-,0.4,16.10,204,16.15,1,0.0,,,,,,,
1305,華夏,2424050.0,1396.0,44072626.0,18.4,18.45,18.05,18.15,-,0.3,18.15,20,18.20,14,30.76,,,,,,,
1307,三芳,793400.0,513.0,22145306.0,27.55,28.2,27.55,28.05,+,0.2,28.05,3,28.10,5,14.69,,,,,,,
1308,亞聚,1234132.0,1386.0,24143858.0,19.8,19.8,19.4,19.4,-,0.4,19.40,37,19.45,2,97.0,,,,,,,
1309,台達化,1043736.0,1168.0,15818528.0,15.4,15.4,15.05,15.15,-,0.35,15.15,12,15.20,7,0.0,,,,,,,
1310,台苯,875712.0,749.0,11726365.0,13.5,13.55,13.3,13.35,-,0.15,13.30,233,13.35,1,0.0,,,,,,,
1312,國喬,3553407.0,2608.0,46475713.0,13.15,13.2,12.95,13.15,,0.0,13.10,38,13.15,32,0.0,,,,,,,
1313,聯成,2158282.0,851.0,28302542.0,13.2,13.25,13.0,13.1,-,0.05,13.10,56,13.15,8,0.0,,,,,,,
1314,中石化,13476144.0,3938.0,125741470.0,9.3,9.38,9.28,9.35,+,0.09,9.34,248,9.35,59,0.0,,,,,,,
1315,達新,87004.0,88.0,6248393.0,72.2,72.4,71.3,72.4,+,0.2,72.30,9,72.40,1,19.78,,,,,,,
