symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日參考價,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,19741078,6587,629536579,31.7,32.15,31.7,32.15,+,0.45,32.10,49,32.15,224,31.21,,,,,,,,,
1102,亞泥,2747051,1230,113025459,41.0,41.3,40.95,41.3,+,0.35,41.20,5,41.30,68,13.45,,,,,,,,,
1103,嘉泥,368314,218,6386262,17.4,17.4,17.3,17.4, ,0.0,17.35,28,17.40,3,145.0,,,,,,,,,
1104,環泥,372104,496,11749865,31.7,31.7,31.45,31.6,+,0.1,31.55,24,31.60,15,10.1,,,,,,,,,
1108,幸福,734466,469,11603335,15.95,15.95,15.75,15.8,-,0.05,15.80,5,15.85,54,12.15,,,,,,,,,
1109,信大,272825,156,5238910,19.25,19.3,19.1,19.2, ,0.0,19.20,7,19.25,9,9.55,,,,,,,,,
1110,東泥,63604,65,1132749,17.9,17.95,17.7,17.85,-,0.05,17.70,8,17.85,14,68.65,,,,,,,,,
1201,味全,113283,286,2131822,18.8,18.9,18.75,18.9,+,0.1,18.80,6,18.90,51,35.66,,,,,,,,,
1203,味王,10277,93,519904,50.5,50.8,50.4,50.7,+,0.7,50.20,1,50.70,1,28.17,,,,,,,,,
1210,大成,1489810,2110,85878406,57.8,58.0,57.5,57.7, ,0.0,57.70,17,57.80,15,12.0,,,,,,,,,
1213,大飲,26920,22,195188,7.28,7.28,7.22,7.28,-,0.06,7.28,2,7.32,2,0.0,,,,,,,,,
1215,卜蜂,913178,1464,101733598,110.0,112.5,108.5,112.0,+,2.0,111.50,9,112.00,5,14.55,,,,,,,,,
1216,統一,28189638,10373,2167827308,76.5,77.7,75.8,77.5,+,1.1,77.50,17,77.60,285,23.99,,,,,,,,,
1217,愛之味,1152557,712,13735890,12.0,12.0,11.85,11.9,-,0.1,11.85,245,11.90,22,29.02,,,,,,,,,
1218,泰山,505013,407,11151838,22.15,22.15,22.0,22.1,+,0.05,22.05,4,22.10,2,0.0,,,,,,,,,
1219,福壽,244992,276,4578404,18.8,18.8,18.65,18.7,+,0.05,18.65,77,18.70,16,19.89,,,,,,,,,
1220,台榮,330785,236,5031045,15.15,15.4,15.05,15.25,+,0.1,15.20,23,15.25,4,20.07,,,,,,,,,
1225,福懋油,31557,45,1774615,56.1,56.6,56.0,56.5,+,0.5,56.40,1,56.70,1,35.31,,,,,,,,,
1227,佳格,944724,588,35935801,37.8,38.3,37.8,38.15,+,0.35,38.15,50,38.20,64,28.26,,,,,,,,,
1229,聯華,527959,782,35789125,68.0,68.1,67.5,67.9,-,0.1,67.70,5,67.90,35,25.72,,,,,,,,,
1231,聯華食,130225,351,12667429,97.8,97.8,96.7,96.8,-,0.5,96.60,12,96.80,1,24.63,,,,,,,,,
1232,大統益,98789,232,14518148,146.0,147.5,146.0,147.0,+,1.5,147.00,7,147.50,4,19.52,,,,,,,,,
1233,天仁,27038,19,910989,33.85,33.85,33.65,33.85,+,0.15,33.70,2,33.85,1,31.93,,,,,,,,,
1234,黑松,150897,126,6209724,41.0,41.45,41.0,41.2,+,0.1,41.20,6,41.25,2,17.46,,,,,,,,,
1235,興泰,4400,42,358446,81.7,81.9,81.5,81.5,-,0.2,81.50,2,81.70,1,31.23,,,,,,,,,
1236,宏亞,24715,79,581804,23.4,23.65,23.4,23.5,+,0.1,23.50,3,23.60,1,130.56,,,,,,,,,
1240,茂生農經,10243,17,523144,50.8,51.2,50.8,51.2,,0.2,51.2,5,51.3,1,18.29,51.07,"39,370,158",51.2,56.3,46.1,2.7,112.0,5.27,1.58
1256,鮮活果汁-KY,11753,73,2757327,232.0,236.5,232.0,236.0,+,4.0,235.00,1,236.50,2,19.02,,,,,,,,,
1259,安心,23514,194,1761957,74.9,75.0,74.9,74.9,,0.3,74.4,1,75.3,1,14.49,74.93,"32,389,500",74.9,82.3,67.5,1.8,112.0,2.4,1.03
1264,德麥,8888,91,2706653,304.0,305.0,304.0,305.0,,1.0,305.0,2,306.0,1,16.72,304.53,"37,064,367",305.0,335.5,274.5,14.0,112.0,4.59,3.59
1268,漢來美食,47272,132,7279936,154.5,154.5,153.5,154.0,,0.0,154.0,3,154.5,2,20.24,154.0,"42,223,730",154.0,169.0,139.0,3.0,111.0,1.95,3.02
1301,台塑,7041830,4489,486176421,68.5,69.3,68.3,68.9,+,0.8,68.90,8,69.00,91,59.91,,,,,,,,,
1303,南亞,7339082,4405,412392761,55.8,56.8,55.6,56.0,+,0.9,55.90,814,56.00,56,70.0,,,,,,,,,
1304,台聚,1586124,960,25476488,16.0,16.2,15.95,16.05,+,0.1,16.05,29,16.15,14,0.0,,,,,,,,,
1305,華夏,1481754,858,27056268,18.1,18.6,18.1,18.2,+,0.1,18.20,70,18.25,11,30.85,,,,,,,,,
1307,三芳,730479,543,21521247,29.5,29.75,29.25,29.45, ,0.0,29.45,16,29.50,8,15.42,,,,,,,,,
1308,亞聚,690553,601,13233745,19.05,19.25,19.05,19.2,+,0.1,19.15,75,19.20,27,96.0,,,,,,,,,
1309,台達化,407483,416,6295544,15.4,15.55,15.35,15.5,+,0.2,15.45,29,15.50,2,0.0,,,,,,,,,
1310,台苯,477891,731,6393840,13.45,13.45,13.3,13.35,-,0.1,13.30,89,13.35,7,0.0,,,,,,,,,
1312,國喬,1406257,927,18627174,13.15,13.35,13.15,13.3,+,0.2,13.25,39,13.30,167,0.0,,,,,,,,,
1313,聯成,605791,334,8036177,13.25,13.35,13.2,13.25, ,0.0,13.25,16,13.30,66,0.0,,,,,,,,,
1314,中石化,5893478,2192,55441362,9.45,9.47,9.38,9.39,-,0.04,9.38,109,9.39,25,0.0,,,,,,,,,
1315,達新,9419,30,682292,72.3,72.5,72.3,72.5,+,0.3,72.50,2,72.60,2,19.81,,,,,,,,,
1316,上曜,9243900,3999,179860322,19.45,19.85,19.2,19.2,-,0.1,19.20,199,19.25,15,0.0,,,,,,,,,
1319,東陽,25733446,15713,3162887706,126.5,126.5,119.0,125.0, ,0.0,123.50,234,125.50,345,24.51,,,,,,,,,
1321,大洋,84106,45,2917607,34.8,35.15,34.55,34.7,-,0.1,34.70,1,34.75,1,39.43,,,,,,,,,
1323,永裕,21051,52,651532,30.95,30.95,30.95,30.95,-,0.05,30.90,26,31.00,16,33.28,,,,,,,,,
1324,地球,937826,544,13692820,15.05,15.05,14.5,14.55,-,0.3,14.50,119,14.55,35,27.45,,,,,,,,,
1325,恆大,553968,397,16331156,29.5,29.75,29.3,29.3,+,0.05,29.30,3,29.35,6,139.52,,,,,,,,,
1326,台化,4418381,2116,244618188,55.0,55.7,54.9,55.2,+,0.5,55.10,81,55.30,12,37.81,,,,,,,,,
1336,台翰,36093,33,739998,20.45,20.55,20.45,20.5,,0.1,20.5,1,20.55,2,14.75,20.5,"78,818,419",20.5,22.55,18.45,0.41,112.0,2.0,0.91
1337,再生-KY,374000,260,2678875,7.17,7.19,7.14,7.14,-,0.01,7.14,13,7.15,3,0.0,,,,,,,,,
1338,廣華-KY,24901,181,886064,35.6,35.7,35.3,35.6,+,0.1,35.55,3,35.65,1,0.0,,,,,,,,,
1339,昭輝,111907,131,7663532,69.0,69.3,67.7,68.1,-,0.3,68.00,2,68.40,1,11.58,,,,,,,,,
1340,勝悅-KY,47073,639,468680,9.96,9.97,9.94,9.96,-,0.01,9.95,5,9.96,18,0.0,,,,,,,,,
1341,富林-KY,101871,96,6541484,64.6,64.7,64.0,64.0,-,0.6,64.00,2,64.10,1,14.38,,,,,,,,,
1342,八貫,1221187,1654,167817883,142.0,142.0,135.5,137.5,-,4.0,137.50,2,138.00,17,18.51,,,,,,,,,
