symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,均價,發行股數,次日 參考價,次日 漲停價,次日 跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1101,台泥,21579405.0,9961.0,703826794.0,32.8,33.15,32.3,32.35,-,0.25,32.35,619,32.40,1,31.41,,,,,,,,,
1102,亞泥,8648772.0,4272.0,370577880.0,42.7,43.0,42.55,42.9,+,0.2,42.85,6,42.90,103,13.97,,,,,,,,,
1103,嘉泥,302246.0,795.0,5400995.0,17.8,18.0,17.75,17.9,+,0.1,17.85,1,17.90,67,149.17,,,,,,,,,
1104,環泥,3313881.0,2337.0,112331956.0,33.75,34.1,33.5,34.05,+,0.65,34.00,31,34.05,8,10.88,,,,,,,,,
1108,幸福,1364185.0,648.0,23180129.0,17.15,17.2,16.8,16.9,-,0.05,16.90,30,16.95,19,13.0,,,,,,,,,
1109,信大,321197.0,208.0,6255386.0,19.55,19.55,19.4,19.5,+,0.1,19.45,4,19.50,140,9.7,,,,,,,,,
1110,東泥,308894.0,195.0,5857966.0,18.8,19.15,18.8,19.05,+,0.15,18.95,6,19.05,1,73.27,,,,,,,,,
1201,味全,331179.0,426.0,6194230.0,18.6,18.85,18.6,18.7,,0.0,18.65,8,18.70,24,35.28,,,,,,,,,
1203,味王,10821.0,195.0,516705.0,47.6,48.2,47.1,47.85,+,0.25,47.65,1,47.90,1,26.58,,,,,,,,,
1210,大成,4133756.0,2856.0,235574362.0,56.6,57.4,56.4,57.4,+,1.0,57.40,4,57.50,122,11.93,,,,,,,,,
1213,大飲,30420.0,15.0,217284.0,7.15,7.2,7.13,7.13,-,0.1,7.13,6,7.20,2,0.0,,,,,,,,,
1215,卜蜂,383873.0,812.0,40437350.0,104.0,107.0,104.0,107.0,+,3.5,106.50,8,107.00,29,13.9,,,,,,,,,
1216,統一,6001891.0,4644.0,470920924.0,77.8,78.9,77.7,78.4,-,0.5,78.40,27,78.50,46,24.27,,,,,,,,,
1217,愛之味,762631.0,447.0,9029666.0,11.8,11.95,11.8,11.85,-,0.1,11.80,265,11.85,1,28.9,,,,,,,,,
1218,泰山,426078.0,344.0,9034057.0,21.25,21.35,21.0,21.25,+,0.15,21.20,30,21.30,49,0.0,,,,,,,,,
1219,福壽,350068.0,219.0,6613997.0,18.8,18.95,18.8,18.95,+,0.1,18.90,5,18.95,59,20.16,,,,,,,,,
1220,台榮,753140.0,651.0,11592474.0,15.2,15.55,15.2,15.45,+,0.4,15.45,6,15.50,56,20.33,,,,,,,,,
1225,福懋油,38448.0,43.0,2233688.0,57.8,58.4,57.8,58.4,+,0.6,58.20,2,58.50,35,36.5,,,,,,,,,
1227,佳格,336946.0,300.0,12766185.0,37.65,38.05,37.65,38.05,+,0.45,38.05,5,38.10,12,28.19,,,,,,,,,
1229,聯華,786763.0,844.0,51828306.0,65.6,66.2,65.5,66.2,+,0.7,66.10,1,66.20,21,25.08,,,,,,,,,
1231,聯華食,102819.0,220.0,10032059.0,97.4,98.3,97.3,97.6,+,0.2,97.60,2,97.70,8,24.83,,,,,,,,,
1232,大統益,26932.0,82.0,3898585.0,145.0,145.0,144.5,144.5,,0.0,144.50,7,145.00,9,19.19,,,,,,,,,
1233,天仁,12809.0,29.0,423952.0,33.1,33.2,33.0,33.05,-,0.05,33.05,2,33.20,1,31.18,,,,,,,,,
1234,黑松,101986.0,121.0,4255319.0,41.65,41.8,41.6,41.8,+,0.35,41.75,3,41.80,10,17.71,,,,,,,,,
1235,興泰,7453.0,23.0,610893.0,81.9,82.3,81.8,82.3,+,0.4,82.00,1,82.30,15,31.53,,,,,,,,,
1236,宏亞,29372.0,245.0,689053.0,23.4,23.5,23.4,23.4,+,0.1,23.40,4,23.45,1,130.0,,,,,,,,,
1240,茂生農經,12194.0,17.0,624738.0,51.1,51.4,51.1,51.3,,0.3,51.20,3,51.50,1,12.45,51.23,39370158,51.30,56.40,46.20,2.7,112.0,5.26,1.49
1256,鮮活果汁-KY,12244.0,100.0,2570988.0,208.5,210.5,208.5,209.5,+,1.5,209.00,2,210.50,1,16.88,,,,,,,,,
1259,安心,21202.0,21.0,1579005.0,74.2,74.7,74.2,74.5,,0.8,74.30,1,74.50,3,14.41,74.47,32389500,74.50,81.90,67.10,1.8,112.0,2.42,1.02
1264,德麥,4974.0,168.0,1494042.0,300.0,300.0,300.0,300.0,,0.0,300.00,2,300.50,1,16.45,300.37,37064367,300.00,330.00,270.00,14.0,112.0,4.67,3.53
1268,漢來美食,25187.0,46.0,3755799.0,148.5,149.5,148.5,149.0,,1.0,149.00,6,149.50,4,19.58,149.12,42223730,149.00,163.50,134.50,7.0,112.0,4.7,2.92
1301,台塑,5988110.0,8457.0,414560274.0,69.7,69.8,68.9,69.1,-,0.6,69.00,204,69.10,5,60.09,,,,,,,,,
1303,南亞,6737216.0,5139.0,383622673.0,57.6,57.9,56.6,56.7,-,0.6,56.70,85,56.80,4,70.88,,,,,,,,,
1304,台聚,1693870.0,925.0,27828024.0,16.35,16.7,16.25,16.35,+,0.1,16.35,3,16.40,65,0.0,,,,,,,,,
1305,華夏,1080781.0,651.0,19576588.0,18.3,18.35,18.0,18.05,-,0.15,18.05,17,18.10,14,30.59,,,,,,,,,
1307,三芳,367428.0,356.0,10793419.0,29.6,29.65,29.15,29.5,+,0.1,29.45,5,29.50,29,15.44,,,,,,,,,
1308,亞聚,349573.0,357.0,6661893.0,19.05,19.15,18.95,19.1,+,0.05,19.05,1,19.10,49,95.5,,,,,,,,,
1309,台達化,419681.0,429.0,6445685.0,15.5,15.55,15.25,15.3,-,0.15,15.30,19,15.35,5,0.0,,,,,,,,,
1310,台苯,418363.0,326.0,5467158.0,13.2,13.2,13.0,13.1,+,0.05,13.05,41,13.10,8,0.0,,,,,,,,,
1312,國喬,1099219.0,516.0,14527603.0,13.2,13.3,13.15,13.2,+,0.05,13.20,69,13.25,28,0.0,,,,,,,,,
1313,聯成,802441.0,477.0,10808509.0,13.55,13.55,13.4,13.55,+,0.1,13.50,2,13.55,80,0.0,,,,,,,,,
1314,中石化,35711466.0,6480.0,362790497.0,10.2,10.3,10.0,10.25,+,0.05,10.20,93,10.25,1856,0.0,,,,,,,,,
1315,達新,10823.0,21.0,768149.0,70.9,71.2,70.9,71.0,+,0.1,70.90,2,71.00,1,19.4,,,,,,,,,
1316,上曜,41831363.0,13127.0,785618908.0,19.8,20.1,18.1,18.45,-,0.7,18.40,69,18.45,110,0.0,,,,,,,,,
1319,東陽,3367938.0,3085.0,403059582.0,122.0,123.5,118.0,119.5,-,1.5,119.00,5,119.50,21,23.43,,,,,,,,,
1321,大洋,399570.0,218.0,14996694.0,37.6,38.1,37.3,37.5,+,0.15,37.45,3,37.50,20,42.61,,,,,,,,,
1323,永裕,11025.0,10.0,343035.0,31.1,31.2,31.0,31.1,,0.0,31.00,24,31.15,1,33.44,,,,,,,,,
1324,地球,102776.0,81.0,1529220.0,14.95,15.05,14.8,15.0,+,0.05,14.95,19,15.00,1,28.3,,,,,,,,,
1325,恆大,353694.0,323.0,9941249.0,28.6,28.6,27.7,28.2,-,0.1,28.15,3,28.20,8,134.29,,,,,,,,,
1326,台化,4773060.0,3634.0,262667591.0,55.2,55.3,54.7,54.9,-,0.2,54.90,9,55.00,10,37.6,,,,,,,,,
1336,台翰,31152.0,27.0,604430.0,19.5,19.5,19.3,19.3,,0.1,19.25,3,19.30,1,13.88,19.40,78818419,19.30,21.20,17.40,0.41,112.0,2.12,0.86
1337,再生-KY,2098689.0,711.0,15632508.0,7.32,7.67,7.26,7.6,+,0.39,7.59,1,7.60,18,0.0,,,,,,,,,
1338,廣華-KY,64133.0,115.0,2145387.0,33.4,33.75,33.35,33.4,-,0.25,33.40,4,33.45,1,0.0,,,,,,,,,
1339,昭輝,376473.0,293.0,26464280.0,69.1,70.9,69.1,70.6,+,2.5,70.60,1,70.70,9,12.01,,,,,,,,,
1340,勝悅-KY,74486.0,637.0,748330.0,10.0,10.15,10.0,10.1,+,0.11,10.05,2,10.10,11,0.0,,,,,,,,,
1341,富林-KY,15269.0,35.0,965059.0,63.0,63.3,63.0,63.2,+,0.2,63.10,1,63.30,2,14.2,,,,,,,,,
1342,八貫,202147.0,254.0,24814676.0,123.0,123.5,122.0,123.0,+,2.0,122.50,6,123.00,1,16.55,,,,,,,,,
1402,遠東新,4318987.0,2020.0,141750458.0,32.45,33.0,32.45,32.85,+,0.45,32.80,55,32.85,21,21.33,,,,,,,,,
1409,新纖,4556022.0,1431.0,75654350.0,16.75,16.75,16.45,16.65,+,0.1,16.60,19,16.65,219,35.43,,,,,,,,,
1410,南染,24169.0,19.0,860899.0,35.25,35.75,35.25,35.6,+,0.35,35.55,1,35.60,1,148.33,,,,,,,,,
1413,宏洲,42222.0,29.0,383602.0,9.06,9.18,9.05,9.15,+,0.06,9.08,5,9.15,3,0.0,,,,,,,,,
1414,東和,1437228.0,878.0,28612780.0,20.0,20.4,19.4,20.15,+,0.25,20.15,17,20.20,25,134.33,,,,,,,,,
1416,廣豐,1143819.0,510.0,14865665.0,13.05,13.2,12.75,13.1,+,0.05,13.10,15,13.15,23,25.69,,,,,,,,,
1417,嘉裕,284024.0,211.0,3168851.0,11.3,11.3,11.05,11.2,,0.0,11.15,4,11.20,15,0.0,,,,,,,,,
